Rk,Player,Age,Pos,Tm ,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
210,Trevor van Riemsdyk,25,D,CHI,58,5,11,16,17,29,5,0,0,2,11,0,0,73,6.8,1068,18,100,22,0,0,
211,Tanner Kero,24,RW,CHI,47,6,10,16,15,8,6,0,0,0,10,0,0,60,10,634,13,51,41,209,262,44.4
212,Marcus Kruger,26,C,CHI,70,5,12,17,7,34,5,0,0,0,12,0,0,83,6,981,14,62,31,357,370,49.1
213,Brian Campbell,37,D,CHI,80,5,12,17,12,24,3,2,0,1,9,3,0,74,6.8,1474,18,83,43,0,0,
214,Niklas Hjalmarsson,29,D,CHI,73,5,13,18,12,20,5,0,0,0,12,0,1,61,8.2,1569,21,181,23,0,0,
215,Nick Schmaltz,20,LW,CHI,61,6,22,28,10,6,6,0,0,0,20,2,0,66,9.1,809,13,27,20,84,188,30.9
216,Ryan Hartman,22,LW,CHI,76,19,12,31,13,70,18,1,0,4,12,0,0,170,11.2,970,13,30,121,25,37,40.3
217,Brent Seabrook,31,D,CHI,79,3,36,39,5,26,1,2,0,0,24,12,0,131,2.3,1729,22,147,111,0,1,0
218,Richard Panik,25,RW,CHI,82,22,22,44,14,58,18,4,0,5,17,5,0,155,14.2,1208,15,45,147,2,5,28.6
219,Artem Anisimov,28,C,CHI,64,22,23,45,9,30,18,4,0,7,19,4,0,105,21,1142,18,27,18,416,506,45.1
220,Marian Hossa,38,RW,CHI,73,26,19,45,7,8,20,5,1,7,13,6,0,167,15.6,1231,17,36,32,5,9,35.7
221,Duncan Keith,33,D,CHI,80,6,47,53,22,16,4,2,0,2,34,13,0,183,3.3,2049,26,107,24,0,0,
222,Jonathan Toews,28,C,CHI,72,21,37,58,7,35,15,6,0,5,26,11,0,199,10.6,1451,20,32,43,852,700,54.9
223,Artemi Panarin,25,LW,CHI,82,31,43,74,18,21,22,9,0,5,35,8,0,211,14.7,1597,19,14,23,2,8,20
224,Patrick Kane,28,RW,CHI,82,34,55,89,11,32,27,7,0,5,39,16,0,292,11.6,1754,21,15,28,7,44,13.7
225,Duncan Siemens,23,D,COL,3,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,37,12,1,10,0,0,
226,Anton Lindholm,22,D,COL,12,0,0,0,-8,2,0,0,0,0,0,0,0,7,0,177,15,12,38,0,0,
227,Gabriel Bourque,26,LW,COL,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,67,11,6,17,0,1,0
228,Rocco Grimaldi,23,C,COL,4,0,1,1,-3,2,0,0,0,0,1,0,0,11,0,44,11,4,1,0,0,
229,A.J. Greer,20,LW,COL,5,0,1,1,-2,4,0,0,0,0,1,0,0,8,0,68,14,3,4,0,0,
230,Eric Gelinas,25,D,COL,27,0,1,1,-4,12,0,0,0,0,1,0,0,29,0,313,12,16,32,0,1,0
231,Tyson Jost,18,C,COL,6,1,0,1,-5,0,1,0,0,0,0,0,0,9,11.1,94,16,3,3,28,42,40
232,Samuel Henley,23,C,COL,1,1,0,1,1,2,1,0,0,0,0,0,0,1,100,5,5,0,2,0,1,0
233,Cody Goloubef,27,D,COL,33,0,5,5,-11,25,0,0,0,0,5,0,0,35,0,561,17,33,30,0,0,
234,J.T. Compher,21,LW,COL,21,3,2,5,0,4,2,1,0,1,2,0,0,30,10,314,15,21,11,78,86,47.6
235,John Mitchell,32,C,COL,65,3,4,7,-12,45,3,0,0,1,4,0,0,57,5.3,816,13,45,88,298,240,55.4
236,Joe Colborne,27,C,COL,62,4,4,8,-21,34,2,2,0,0,3,1,0,48,8.3,663,11,14,86,45,72,38.5
237,Nikita Zadorov,21,D,COL,56,0,10,10,-20,73,0,0,0,0,8,2,0,61,0,1066,19,69,153,0,0,
238,Patrick Wiercioch,26,D,COL,57,4,8,12,-18,23,4,0,0,0,8,0,0,63,6.3,950,17,57,52,1,0,100
239,Fedor Tyutin,33,D,COL,69,1,12,13,-25,38,1,0,0,0,12,0,0,46,2.2,1307,19,90,116,0,0,
240,Carl Soderberg,31,C,COL,80,6,8,14,-26,22,5,1,0,0,7,1,0,128,4.7,1076,13,42,34,365,337,52
241,Erik Johnson,28,D,COL,46,2,15,17,-6,9,2,0,0,1,9,6,0,96,2.1,1016,22,98,87,0,0,
242,Francois Beauchemin,36,D,COL,81,5,13,18,-14,32,5,0,0,1,10,3,0,132,3.8,1743,22,156,73,0,0,
243,Rene Bourque,35,RW,COL,65,12,6,18,-19,56,10,2,0,2,6,0,0,111,10.8,906,14,26,75,0,5,0
244,Blake Comeau,30,LW,COL,77,8,12,20,-19,58,5,2,1,1,12,0,0,103,7.8,1154,15,22,129,114,132,46.3
245,Mikhail Grigorenko,22,C,COL,75,10,13,23,-14,18,10,0,0,0,9,4,0,85,11.8,1057,14,26,27,111,81,57.8
246,Gabriel Landeskog,24,LW,COL,72,18,15,33,-25,62,12,5,1,2,14,1,0,169,10.7,1352,19,41,143,62,63,49.6
247,Tyson Barrie,25,D,COL,74,7,31,38,-34,18,6,1,0,2,22,9,0,182,3.8,1725,23,75,32,0,0,
248,Mikko Rantanen,20,RW,COL,75,20,19,39,-25,22,16,4,0,2,13,6,0,133,15,1354,18,33,29,29,21,58
249,Matt Duchene,26,C,COL,77,18,23,41,-34,12,14,3,1,3,17,6,0,160,11.3,1409,18,41,42,687,411,62.6
250,Nathan MacKinnon,21,C,COL,82,16,37,53,-14,16,12,2,2,4,25,12,0,251,6.4,1635,20,30,56,768,752,50.5
251,Mark McNeill,23,RW,DAL,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,14,14,1,0,0,2,0
252,Denis Gurianov,19,RW,DAL,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,13,3,1,0,0,
253,Justin Dowling,26,C,DAL,9,0,2,2,0,2,0,0,0,0,1,1,0,11,0,94,10,0,1,38,31,55.1
254,Jason Dickinson,21,C,DAL,10,2,0,2,-3,0,2,0,0,0,0,0,0,9,22.2,118,12,4,8,4,9,30.8
255,Patrik Nemeth,24,D,DAL,40,0,3,3,-4,14,0,0,0,0,3,0,0,46,0,631,16,47,45,0,0,
256,Julius Honka,21,D,DAL,16,1,4,5,-4,4,1,0,0,1,3,1,0,34,2.9,270,17,15,9,0,0,
257,Gemel Smith,22,C,DAL,17,3,3,6,-1,21,2,0,1,0,3,0,0,19,15.8,231,14,6,6,25,34,42.4
258,Remi Elie,21,LW,DAL,18,1,6,7,5,8,1,0,0,0,6,0,0,15,6.7,281,16,11,30,1,0,100
259,Ales Hemsky,33,RW,DAL,15,4,3,7,-1,0,3,1,0,0,2,1,0,30,13.3,216,14,4,1,0,0,
260,Jamie Oleksiak,24,D,DAL,41,5,2,7,-4,37,5,0,0,1,1,0,1,33,15.2,665,16,53,51,0,0,
261,Stephen Johns,24,D,DAL,61,4,6,10,-10,36,4,0,0,1,5,1,0,91,4.4,1114,18,130,159,0,0,
262,Jiri Hudler,33,RW,DAL,32,3,8,11,-3,4,2,1,0,1,8,0,0,27,11.1,379,12,3,9,3,2,60
263,Cody Eakin,25,C,DAL,60,3,9,12,-7,49,3,0,0,1,7,2,0,82,3.7,1009,17,39,65,524,477,52.3
264,Dan Hamhuis,34,D,DAL,79,1,15,16,-7,23,0,1,0,0,13,0,2,83,1.2,1529,19,100,93,0,0,
265,Curtis McKenzie,25,LW,DAL,53,6,10,16,5,72,6,0,0,3,10,0,0,66,9.1,575,11,31,103,3,3,50
266,Adam Cracknell,31,RW,DAL,69,10,6,16,9,12,9,0,1,2,6,0,0,87,11.5,722,10,37,91,135,160,45.8
267,Esa Lindell,22,D,DAL,73,6,12,18,8,22,6,0,0,2,10,2,0,99,6.1,1597,22,119,93,0,1,0
268,Patrick Sharp,35,LW,DAL,48,8,10,18,-22,31,6,1,1,0,10,0,0,146,5.5,765,16,24,24,29,32,47.5
269,Brett Ritchie,23,RW,DAL,78,16,8,24,11,38,15,1,0,2,7,1,0,167,9.6,1006,13,23,153,1,1,50
270,Antoine Roussel,27,LW,DAL,60,12,15,27,1,115,12,0,0,3,12,3,0,82,14.6,931,16,45,69,7,9,43.8
271,Radek Faksa,23,C,DAL,80,12,21,33,-6,67,12,0,0,0,19,2,0,132,9.1,1294,16,62,101,590,632,48.3
272,Devin Shore,22,C,DAL,82,13,20,33,-4,14,12,1,0,0,15,5,0,115,11.3,1159,14,71,44,221,249,47
273,John Klingberg,24,D,DAL,80,13,36,49,2,34,9,4,0,3,23,13,0,124,10.5,1868,23,117,42,1,0,100
274,Jason Spezza,33,C,DAL,68,15,35,50,-18,29,12,2,1,4,18,17,0,149,10.1,1100,16,31,13,354,324,52.2
275,Jamie Benn,27,LW,DAL,77,26,43,69,-9,66,13,12,1,4,29,14,0,201,12.9,1492,19,47,89,212,200,51.5
276,Tyler Seguin,25,C,DAL,82,26,46,72,-15,22,15,11,0,4,28,18,0,301,8.6,1514,18,26,60,401,385,51
277,Evgeny Svechnikov,20,RW,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,13,1,2,0,0,
278,Robbie Russo,23,D,DET,19,0,0,0,2,2,0,0,0,0,0,0,0,18,0,305,16,13,24,0,0,
279,Dan Renouf,22,D,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,14,0,3,0,0,
280,Brian Lashoff,26,D,DET,5,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,63,13,4,8,0,0,
281,Mitch Callahan,25,RW,DET,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,7,2,3,0,0,
282,Tyler Bertuzzi,21,LW,DET,7,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,64,9,0,12,1,1,50
283,Ben Street,29,C,DET,6,0,1,1,1,0,0,0,0,0,1,0,0,8,0,50,8,0,3,0,0,
284,Matthew Lorito,26,LW,DET,2,0,1,1,0,0,0,0,0,0,1,0,0,6,0,29,15,0,0,0,0,
285,Tomas Nosek,24,LW,DET,11,1,0,1,-1,2,1,0,0,0,0,0,0,19,5.3,111,10,5,10,37,31,54.4
286,Ryan Sproul,24,D,DET,27,1,6,7,-8,6,0,1,0,0,4,2,0,46,2.2,409,15,14,12,0,0,
287,Drew Miller,32,LW,DET,55,5,2,7,-12,18,5,0,0,1,2,0,0,43,11.6,565,10,52,71,2,1,66.7
288,Jonathan Ericsson,32,D,DET,51,1,8,9,-2,63,1,0,0,0,8,0,0,43,2.3,980,19,36,86,0,0,
289,Xavier Ouellet,23,D,DET,66,3,9,12,2,51,3,0,0,0,9,0,0,89,3.4,1186,18,87,73,0,2,0
290,Danny DeKeyser,26,D,DET,82,4,8,12,-22,33,4,0,0,2,8,0,0,85,4.7,1800,22,170,100,0,0,
291,Riley Sheahan,25,C,DET,80,2,11,13,-29,14,1,1,0,0,9,2,0,109,1.8,1118,14,38,81,236,230,50.6
292,Niklas Kronwall,36,D,DET,57,2,11,13,-7,32,2,0,0,0,5,6,0,67,3,1109,19,81,77,0,0,
293,Nick Jensen,26,D,DET,49,4,9,13,-7,12,4,0,0,0,8,0,1,59,6.8,870,18,56,55,0,0,
294,Luke Glendening,27,C,DET,74,3,11,14,-10,26,3,0,0,0,10,1,0,76,3.9,956,13,62,150,307,261,54
295,Darren Helm,30,C,DET,50,8,9,17,-6,20,6,2,0,1,6,2,1,98,8.2,768,15,18,71,216,204,51.4
296,Justin Abdelkader,29,LW,DET,64,7,14,21,-20,50,2,5,0,1,11,2,1,104,6.7,1066,17,27,144,5,12,29.4
297,Andreas Athanasiou,22,C,DET,64,18,11,29,-7,28,17,1,0,3,8,3,0,120,15,862,13,21,30,37,46,44.6
298,Dylan Larkin,20,C,DET,80,17,15,32,-28,37,11,5,1,1,13,2,0,178,9.6,1292,16,22,67,196,236,45.4
299,Mike Green,31,D,DET,72,14,22,36,-20,40,11,3,0,2,15,7,0,125,11.2,1696,24,92,67,0,0,
300,Anthony Mantha,22,RW,DET,60,17,19,36,10,53,16,1,0,3,17,2,0,133,12.8,954,16,33,46,5,6,45.5
301,Frans Nielsen,32,C,DET,79,17,24,41,-19,18,11,4,2,0,13,11,0,162,10.5,1355,17,54,64,653,561,53.8
302,Tomas Tatar,26,LW,DET,82,25,21,46,-8,26,20,5,0,5,18,3,0,166,15.1,1417,17,24,92,8,5,61.5
303,Gustav Nyquist,27,RW,DET,76,12,36,48,0,18,10,2,0,2,29,7,0,165,7.3,1325,17,20,54,4,1,80
304,Henrik Zetterberg,36,LW,DET,82,17,51,68,15,22,15,2,0,0,40,11,0,195,8.7,1617,20,30,58,705,657,51.8
305,Dillon Simpson,,D,EDM,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,33,11,2,3,0,0,
306,Jordan Oesterle,24,D,EDM,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,35,18,3,2,0,0,
307,Jujhar Khaira,22,LW,EDM,10,1,0,1,1,2,1,0,0,1,0,0,0,10,10,93,9,5,20,7,12,36.8
308,Mark Fayne,29,D,EDM,4,0,2,2,1,0,0,0,0,0,2,0,0,4,0,32,8,2,1,0,0,
309,Anton Lander,25,C,EDM,22,1,3,4,2,6,1,0,0,0,3,0,0,12,8.3,215,10,7,28,79,62,56
310,Iiro Pakarinen,25,RW,EDM,14,2,2,4,2,2,2,0,0,1,2,0,0,15,13.3,125,9,6,30,0,1,0
311,Eric Gryba,28,D,EDM,40,2,4,6,-5,65,2,0,0,2,4,0,0,45,4.4,646,16,47,145,0,0,
312,Matt Hendricks,35,LW,EDM,42,4,3,7,-3,29,4,0,0,1,3,0,0,42,9.5,451,11,39,79,132,100,56.9
313,Jesse Puljujarvi,18,RW,EDM,28,1,7,8,5,10,0,1,0,0,7,0,0,41,2.4,315,11,10,11,0,1,0
314,Anton Slepyshev,22,LW,EDM,41,4,6,10,5,4,4,0,0,0,6,0,0,55,7.3,456,11,15,64,2,3,40
315,Darnell Nurse,21,D,EDM,44,5,6,11,0,33,5,0,0,0,6,0,0,85,5.9,749,17,53,107,0,0,
316,Tyler Pitlick,25,RW,EDM,31,8,3,11,0,6,8,0,0,1,3,0,0,54,14.8,308,10,13,70,8,7,53.3
317,Kris Russell,29,D,EDM,68,1,12,13,5,23,1,0,0,1,11,1,0,68,1.5,1443,21,213,67,0,0,
318,Benoit Pouliot,30,LW,EDM,67,8,6,14,-5,34,8,0,0,1,6,0,0,77,10.4,942,14,39,39,7,21,25
319,Matt Benning,22,D,EDM,62,3,12,15,8,29,2,1,0,0,10,2,0,69,4.3,1030,17,64,111,0,0,
320,Drake Caggiula,22,LW,EDM,60,7,11,18,3,16,5,2,0,2,7,3,1,93,7.5,794,13,19,97,117,167,41.2
321,Adam Larsson,24,D,EDM,79,4,15,19,21,55,4,0,0,0,15,0,0,85,4.7,1592,20,160,253,0,0,
322,Zack Kassian,26,RW,EDM,79,7,17,24,4,101,7,0,0,0,17,0,0,110,6.4,972,12,16,201,4,7,36.4
323,Andrej Sekera,30,D,EDM,80,8,27,35,14,18,6,1,1,1,17,10,0,128,6.3,1719,21,166,55,0,0,
324,Mark Letestu,31,C,EDM,78,16,19,35,-2,17,3,11,2,6,15,3,1,120,13.3,1111,14,34,71,452,444,50.4
325,Oscar Klefbom,23,D,EDM,82,12,26,38,7,6,9,3,0,3,12,13,1,201,6,1834,22,146,43,0,0,
326,Patrick Maroon,28,LW,EDM,81,27,15,42,13,95,24,3,0,5,12,3,0,178,15.2,1356,17,23,189,6,9,40
327,Ryan Nugent-Hopkins,23,C,EDM,82,18,25,43,-10,29,13,5,0,4,19,6,0,200,9,1451,18,35,47,556,712,43.8
328,Milan Lucic,28,LW,EDM,82,23,27,50,-3,50,11,12,0,3,14,13,0,175,13.1,1407,17,20,202,4,3,57.1
329,Jordan Eberle,26,RW,EDM,82,20,31,51,3,16,16,4,0,0,21,10,0,208,9.6,1375,17,37,26,10,10,50
330,Leon Draisaitl,21,C,EDM,82,29,48,77,7,20,19,10,0,5,31,17,0,172,16.9,1548,19,36,41,476,496,49
331,Connor McDavid,20,C,EDM,82,30,70,100,27,26,26,3,1,6,45,24,1,251,12,1733,21,29,34,348,458,43.2
332,MacKenzie Weegar,23,D,FLA,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,52,17,1,4,0,0,
333,Ian McCoshen,21,D,FLA,3,0,1,1,0,0,0,0,0,0,1,0,0,0,,40,13,2,3,0,0,
334,Paul Thompson,28,RW,FLA,21,0,3,3,-4,22,0,0,0,0,3,0,0,19,0,166,8,16,48,0,1,0
335,Kyle Rau,24,C,FLA,24,2,1,3,-3,4,2,0,0,0,1,0,0,21,9.5,230,10,3,24,2,1,66.7
336,Shane Harper,27,RW,FLA,14,2,1,3,-1,18,2,0,0,0,1,0,0,13,15.4,144,10,0,19,0,0,
337,Jakub Kindl,29,D,FLA,39,0,4,4,-11,28,0,0,0,0,4,0,0,41,0,573,15,37,49,0,0,
338,Shawn Thornton,39,LW,FLA,50,2,2,4,-7,67,2,0,0,0,2,0,0,42,4.8,384,8,8,52,5,10,33.3
339,Jared McCann,20,C,FLA,29,1,6,7,-1,4,1,0,0,0,5,1,0,44,2.3,337,12,6,28,41,64,39
340,Denis Malgin,20,C,FLA,47,6,4,10,-5,8,4,2,0,1,4,0,0,67,9,528,11,15,34,67,117,36.4
341,Alex Petrovic,24,D,FLA,49,1,13,14,-1,79,1,0,0,0,13,0,0,55,1.8,889,18,55,106,0,0,
342,Nick Bjugstad,24,C,FLA,54,7,7,14,-19,22,6,1,0,1,5,2,0,91,7.7,710,13,9,72,186,205,47.6
343,Derek MacKenzie,35,C,FLA,82,6,10,16,-7,50,4,0,2,1,7,0,3,91,6.6,1030,13,45,192,386,386,50
344,Mark Pysyk,25,D,FLA,82,4,13,17,0,10,4,0,0,0,13,0,0,86,4.7,1522,19,99,72,0,1,0
345,Michael Matheson,22,D,FLA,81,7,10,17,-5,36,7,0,0,0,8,1,1,179,3.9,1705,21,118,69,1,0,100
346,Aaron Ekblad,20,D,FLA,68,10,11,21,-23,58,5,4,1,2,7,4,0,225,4.4,1459,21,62,88,0,0,
347,Colton Sceviour,27,C,FLA,80,9,15,24,-16,25,5,1,3,1,12,2,1,172,5.2,1171,15,64,108,31,27,53.4
348,Jonathan Huberdeau,23,LW,FLA,31,10,16,26,-2,13,7,3,0,2,12,4,0,86,11.6,556,18,7,18,4,5,44.4
349,Jason Demers,28,D,FLA,81,9,19,28,-14,53,9,0,0,2,12,5,2,98,9.2,1588,20,90,106,0,1,0
350,Jussi Jokinen,33,LW,FLA,69,11,17,28,-15,39,6,4,1,2,11,6,0,118,9.3,1201,17,33,28,75,69,52.1
351,Reilly Smith,25,RW,FLA,80,15,22,37,-13,17,8,6,1,3,17,5,0,160,9.4,1468,18,34,75,3,3,50
352,Keith Yandle,30,D,FLA,82,5,36,41,-6,39,3,2,0,0,19,16,1,178,2.8,1807,22,76,28,0,0,
353,Jaromir Jagr,44,RW,FLA,82,16,30,46,2,56,8,8,0,2,25,5,0,181,8.8,1394,17,4,21,1,1,50
354,Jon Marchessault,26,C,FLA,75,30,21,51,-21,38,22,8,0,6,11,10,0,193,15.5,1268,17,17,105,122,148,45.2
355,Aleksander Barkov,21,C,FLA,61,21,31,52,13,10,18,3,0,5,20,11,0,142,14.8,1184,19,30,39,476,547,46.5
356,Vincent Trocheck,23,C,FLA,82,23,31,54,-13,43,21,2,0,2,20,10,1,230,10,1708,21,51,164,835,829,50.2
357,Teddy Purcell,31,LW,LAK,12,0,2,2,0,0,0,0,0,0,2,0,0,10,0,155,13,2,7,3,0,100
358,Jonny Brodzinski,23,C,LAK,6,0,2,2,2,2,0,0,0,0,2,0,0,17,0,74,12,4,10,0,0,
359,Andy Andreoff,25,LW,LAK,36,0,2,2,-2,70,0,0,0,0,2,0,0,38,0,381,11,7,70,41,28,59.4
360,Matt Greene,33,D,LAK,26,1,1,2,3,19,1,0,0,0,1,0,0,14,7.1,343,13,27,71,0,0,
361,Brayden McNabb,26,D,LAK,49,2,2,4,1,54,2,0,0,0,2,0,0,47,4.3,738,15,54,110,0,0,
362,Tom Gilbert,34,D,LAK,18,1,4,5,-4,6,1,0,0,0,3,1,0,12,8.3,278,15,28,10,0,0,
363,Adrian Kempe,20,LW,LAK,25,2,4,6,-3,6,2,0,0,1,1,2,1,32,6.3,306,12,7,23,67,86,43.8
364,Kevin Gravel,24,D,LAK,49,1,6,7,3,6,0,1,0,0,5,1,0,52,1.9,693,14,65,73,0,0,
365,Paul Ladue,24,D,LAK,22,0,8,8,-5,4,0,0,0,0,4,4,0,27,0,339,15,13,17,0,0,
366,Jordan Nolan,27,C,LAK,46,4,4,8,-3,44,4,0,0,0,4,0,0,39,10.3,499,11,7,62,2,4,33.3
367,Devin Setoguchi,30,RW,LAK,45,4,8,12,-5,14,4,0,0,0,7,1,0,60,6.7,560,12,10,53,2,2,50
368,Kyle Clifford,26,LW,LAK,73,6,6,12,-2,92,6,0,0,0,6,0,0,122,4.9,783,11,7,146,2,3,40
369,Nick Shore,24,C,LAK,70,6,11,17,-2,20,5,0,1,1,11,0,0,79,7.6,895,13,22,58,362,359,50.2
370,Derek Forbort,24,D,LAK,82,2,16,18,8,54,2,0,0,0,15,0,1,100,2,1650,20,159,180,1,0,100
371,Marian Gaborik,34,RW,LAK,56,10,11,21,-4,18,7,3,0,3,9,2,0,123,8.1,828,15,15,21,0,1,0
372,Nic Dowd,26,C,LAK,70,6,16,22,-15,25,5,1,0,2,9,7,0,78,7.7,872,12,35,145,338,369,47.8
373,Trevor Lewis,30,C,LAK,82,12,12,24,-6,30,11,1,0,3,11,1,0,145,8.3,1170,14,30,174,44,66,40
374,Jake Muzzin,27,D,LAK,82,9,19,28,-21,46,5,4,0,1,13,6,0,184,4.9,1828,22,122,162,0,0,
375,Tyler Toffoli,24,C,LAK,63,16,18,34,6,22,12,4,0,2,14,3,1,165,9.7,1045,17,4,54,2,3,40
376,Dustin Brown,32,RW,LAK,80,14,22,36,-4,22,9,4,1,1,20,2,0,175,8,1280,16,31,190,2,3,40
377,Alec Martinez,29,D,LAK,82,9,30,39,-17,24,6,2,1,3,17,13,0,144,6.3,1775,22,167,137,0,1,0
378,Drew Doughty,27,D,LAK,82,12,32,44,8,46,7,5,0,1,17,14,1,181,6.6,2226,27,109,129,1,0,100
379,Tanner Pearson,24,LW,LAK,80,24,20,44,5,13,20,3,1,5,14,5,1,187,12.8,1306,16,31,124,10,14,41.7
380,Anze Kopitar,29,C,LAK,76,12,40,52,-10,28,7,5,0,0,25,14,1,150,8,1578,21,59,78,892,801,52.7
381,Jeff Carter,32,C,LAK,82,32,34,66,2,41,21,10,1,9,22,12,0,250,12.8,1479,18,37,86,735,680,51.9
382,Alex Tuch,20,RW,MIN,6,0,0,0,-3,0,0,0,0,0,0,0,0,8,0,64,11,7,5,0,0,
383,Zack Mitchell,24,RW,MIN,11,0,0,0,-1,0,0,0,0,0,0,0,0,10,0,93,8,3,14,11,8,57.9
384,Patrick Cannone,30,C,MIN,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,8,1,2,11,10,52.4
385,Kurtis Gabriel,23,RW,MIN,13,0,1,1,0,29,0,0,0,0,1,0,0,3,0,76,6,1,26,0,0,
386,Christoph Bertschy,22,C,MIN,5,0,1,1,0,4,0,0,0,0,1,0,0,5,0,41,8,3,7,0,0,
387,Mike Reilly,23,D,MIN,17,1,0,1,1,2,1,0,0,0,0,0,0,19,5.3,210,12,8,2,0,0,
388,Gustav Olofsson,22,D,MIN,13,0,3,3,-1,2,0,0,0,0,2,1,0,7,0,175,13,16,10,0,0,
389,Zac Dalpe,27,C,MIN,9,1,2,3,0,9,1,0,0,0,2,0,0,8,12.5,77,9,5,5,27,32,45.8
390,Nate Prosser,30,D,MIN,39,2,5,7,0,12,2,0,0,0,4,1,0,20,10,496,13,63,30,0,0,
391,Joel Eriksson Ek,20,LW,MIN,15,3,4,7,1,4,3,0,0,1,4,0,0,15,20,159,11,8,23,45,64,41.3
392,Christian Folin,25,D,MIN,51,2,6,8,10,26,2,0,0,0,6,0,0,39,5.1,762,15,59,69,0,0,
393,Tyler Graovac,23,C,MIN,52,7,2,9,7,10,7,0,0,2,2,0,0,48,14.6,512,10,15,52,163,180,47.5
394,Marco Scandella,26,D,MIN,71,4,9,13,-2,25,4,0,0,0,9,0,0,88,4.5,1302,18,85,50,0,0,
395,Jordan Schroeder,26,C,MIN,37,6,7,13,5,0,6,0,0,0,7,0,0,37,16.2,362,10,15,29,19,21,47.5
396,Chris Stewart,29,RW,MIN,79,13,8,21,3,94,13,0,0,0,6,2,0,82,15.9,821,10,19,85,2,9,18.2
397,Jonas Brodin,23,D,MIN,68,3,22,25,5,20,1,2,0,2,17,5,0,85,3.5,1331,20,89,20,0,0,
398,Erik Haula,25,C,MIN,72,15,11,26,5,28,14,1,0,4,11,0,0,134,11.2,995,14,38,39,404,346,53.9
399,Mathew Dumba,22,D,MIN,76,11,23,34,15,59,5,6,0,1,16,6,1,131,8.4,1545,20,71,96,0,0,
400,Jared Spurgeon,27,D,MIN,76,10,28,38,33,20,9,1,0,2,23,4,1,144,6.9,1827,24,140,49,0,0,
401,Ryan Suter,32,D,MIN,82,9,31,40,34,36,4,4,1,1,22,8,1,164,5.5,2208,27,105,72,0,0,
402,Zach Parise,32,LW,MIN,69,19,23,42,-3,30,13,6,0,4,17,6,0,194,9.8,1203,17,69,46,8,5,61.5
403,Jason Pominville,34,RW,MIN,78,13,34,47,2,4,13,0,0,2,27,7,0,176,7.4,1110,14,39,44,39,39,50
404,Jason Zucker,25,LW,MIN,79,22,25,47,34,30,21,1,0,3,25,0,0,172,12.8,1208,15,42,73,1,4,20
405,Charlie Coyle,24,C,MIN,82,18,38,56,13,36,14,4,0,5,33,5,0,159,11.3,1370,17,63,101,114,134,46
406,Nino Niederreiter,24,RW,MIN,82,25,32,57,17,53,17,8,0,3,26,6,0,186,13.4,1236,15,20,120,0,1,0
407,Mikko Koivu,33,C,MIN,80,18,40,58,27,34,16,2,0,4,20,18,2,139,12.9,1529,19,65,32,938,761,55.2
408,Eric Staal,32,C,MIN,82,28,37,65,17,34,23,4,1,8,24,12,1,211,13.3,1526,19,39,42,577,597,49.1
409,Mikael Granlund,24,C,MIN,81,26,43,69,23,12,16,7,3,4,29,13,1,177,14.7,1525,19,50,50,16,17,48.5
410,Mikhail Sergachev,18,D,MTL,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,49,12,3,10,0,0,
411,Brett Lernout,21,D,MTL,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,38,19,3,8,0,0,
412,Ryan Johnston,24,D,MTL,7,0,0,0,-3,4,0,0,0,0,0,0,0,3,0,69,10,2,1,0,0,
413,Joel Hanley,25,D,MTL,7,0,0,0,-3,4,0,0,0,0,0,0,0,5,0,71,10,4,8,0,0,
414,Bobby Farnham,28,RW,MTL,3,0,0,0,0,17,0,0,0,0,0,0,0,4,0,25,8,2,8,1,0,100
415,Jacob de La Rose,21,LW,MTL,9,0,0,0,-3,4,0,0,0,0,0,0,0,4,0,98,11,5,23,17,17,50
416,Nikita Scherbak,21,RW,MTL,3,1,0,1,1,0,0,1,0,0,0,0,0,3,33.3,34,11,1,0,0,0,
417,Charles Hudon,22,LW,MTL,3,0,2,2,1,2,0,0,0,0,2,0,0,3,0,36,12,0,11,0,0,
418,Chris Terry,27,LW,MTL,14,2,2,4,-1,4,2,0,0,0,2,0,0,15,13.3,138,10,1,10,1,1,50
419,Zach Redmond,28,D,MTL,16,0,5,5,6,2,0,0,0,0,5,0,0,12,0,197,12,13,25,0,0,
420,Michael McCarron,21,RW,MTL,31,1,4,5,-4,41,1,0,0,0,4,0,0,31,3.2,307,10,11,75,76,99,43.4
